"이름","도수","용량","회사","이미지"
"아사히","5",500,"아사히","아사히"
"칭따오","4.7",500,"칭따오","칭따오"
"하이네켄","5","500","하이네켄","하이네켄"
"1664블랑","5","500","칼스버그","1664블랑"
"호가든","4.9","500","호가든","호가든"
"블루문","5.4","500","밀러쿠어스","블루문"
"빅웨이브","4.4","355","코나","빅웨이브"
"하이트","4.3","500","하이트진로","하이트"
"맥스","4.5","500","하이트진로","맥스"
"OB","4.6","500","오비맥주","OB"
"카스","4.5","500","오비맥주","카스"
"버드와이저","5","500","앤하이저부시","버드와이저"
"클라우드","5","500","롯데칠성음료","클라우드"
"피츠","4.5","500","롯데칠성음료","피츠"
"레드락","5","500","오비맥주","레드락"
"테라","4.6","500","하이트진로","테라"
"기네스","4.2","500","기네스","기네스"
"삿포로","5","500","삿포로","삿포로"
"코젤다크","3.8","500","코젤다크","코젤다크"
"칼스버그","5","500","칼스버그","칼스버그"
"스텔라","5","500","스텔라 아르투아","스텔라"
"필스너우르켈","4.4","500","필스너 우르켈","필스너우르켈"
