"이름","도수","용량","회사","이미지"
"포천일동 생막걸리","6","750","상신주가","포천일동생막걸리"
"이동 쌀막걸리","6","1500","이동주조","이동쌀막걸리"
"강화인삼막걸리","6","750","찬우물","강화인삼막걸리"
"연근막걸리","6","750","좋은연식품","연근막걸리"
"배다리 쌀막걸리","7","750","고양탁주","배다리쌀막걸리"
"덕산 쌀막걸리","6.5","750","세왕주조","덕산쌀막걸리"
"하얀연꽃 생막걸리","6","375","신평양조장","하얀연꽃생막걸리"
"전주 쌀 막걸리","6","1000","전주주조","전주쌀막걸리"
"태인막걸리","6","750","태인합동주조장","태인막걸리"
"고창 복분자 쌀막걸리","6","900","고창 서해안 복분자주","고창복분자쌀막걸리"
"햅쌀 울금 막걸리","6","750","우리술","햅쌀울금막걸리"
"황금 울금막걸리","6","900","송정합동양조장","황금울금막걸리"
"제주감귤주","10","750","제주와이너리","제주감귤주"
"낭도생막걸리","6","750","낭도주조장","낭도생막걸리"
"하이막걸리","6","750","하이양조장","하이막걸리"
"금정산성막걸리","8","750","금정산성토산주","금정산성막걸리"
"울산 태화루 쌀동동주","5.5","750","울산탁주 공동제조장","태화루쌀동동주"
"불로막걸리","6","750","대구탁주","불로막걸리"
"보현산 쌀 막걸리","6","750","청통양조장","보현산쌀막걸리"
"문경오미자 막걸리","6.5","750","문경주조","문경오미자막걸리"
"월악산온천명주","6","900","수안보 양조장","월악산온천명주"
"소백산 오곡막걸리(오곡진상주)","8","530","대강양조장","오곡진상주"
"정선명주 생막걸리","6","1000","국순당 정선","정선명주생막걸리"
"정선 아우라지 옥수수 막걸리","8","1200","여랑양조장","정선아우라지옥수수 막걸리"
"봉평 생메밀막걸리","6","750","봉평 영농조합법인","봉평생메밀막걸리"
"국순당 생막걸리","6","750","국순당","국순당생막걸리"
"가평 잣막걸리","6","750","우리술","가평잣막걸리"
"화요막걸리","15","750","화요","화요막걸리"
"장수 생막걸리","6","750","서울장수","장수막걸리"
"느린마을라이트막걸리","6","750","배상면주가","느린마을라이트막걸리"
"해창막걸리","6","750","해창주조","해창막걸리"
"지평생막걸리","5","750","지평주조","지평막걸리"
"느린마을막걸리","6","750","배상면주가","느린마을막걸리"
"공주알밤막걸리","6","750","사곡양조장","공주알밤막걸리"
