"이름","도수","용량","회사","이미지"
"참이슬 후레쉬","16.9","360","하이트진로","참이슬"
"참이슬 오리지널","20.1","360","하이트진로","참이슬"
"참이슬 골드","25","360","하이트진로","참이슬"
"이제 우린","17.2","360","맥키스컴퍼니","이제우린"
"산처럼","20","360","롯데칠성음료","산처럼"
"처음처럼 순한","16.5","360","롯데칠성음료","처음처럼"
"처음처럼 flex","16.7","360","롯데칠성음료","처음처럼"
"처음처럼 부드러운","16.9","360","롯데칠성음료","처음처럼"
"처음처럼 진한","20","360","롯데칠성음료","처음처럼"
"시원청풍","17.5","360","충북소주","시원청풍"
"참소주","16.7","360","금복주","참소주"
"하이트소주","19.5","360","하이트진로","하이트소주"
"천년애","17.2","360","보해양조","천년애"
"잎새주","17.8","360","보해양조","잎새주"
"좋은데이","16.9","360","무학","좋은데이"
"C1","19","360","대선주조","C1"
"대선","16.9","360","대선주조","대선"
"한라산 17","17","360","한라산","한라산"
"한라산 21","21","360","한라산","한라산"
"푸른밤","16.9","360","제주소주","푸른밤"
"참나무통","16","360","하이트진로","참나무통"
"청하","13","300","롯데칠성음료","청하"
"진로","16.9","360","하이트진로","진로"
"복받은부라더","12","360","보해양조","복받은부라더"
"부라더소다","3","750","보해양조","부라더소다"
